Run,AGE,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,Cultivar,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study,tissue
SRR26560370,10,RNA-Seq,300,7070874600,PRJNA1033435,SAMN38033654,Plant,2480140078,ACADEMY OF AGRICULTURAL SCIENCES,2021-11-15,public,limon,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX22261813,China,Asia,China:Baoshan,Illumina HiSeq 2000,YCQ_1,PAIRED,PCR,TRANSCRIPTOMIC,Citrus x limon,ILLUMINA,2023-11-20T00:00:00Z,2023-10-30T05:54:00Z,1,YCQ_1,SRP469060,leaf
SRR26560371,9,RNA-Seq,300,6926383800,PRJNA1033435,SAMN38033653,Plant,2284403356,ACADEMY OF AGRICULTURAL SCIENCES,2021-12-15,public,limon,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX22261812,China,Asia,China:Baoshan,Illumina HiSeq 2000,ACH_3,PAIRED,PCR,TRANSCRIPTOMIC,Citrus x limon,ILLUMINA,2023-11-20T00:00:00Z,2023-10-30T05:44:00Z,1,ACH_3,SRP469060,leaf
SRR26560372,8,RNA-Seq,300,6730259400,PRJNA1033435,SAMN38033652,Plant,2194689878,ACADEMY OF AGRICULTURAL SCIENCES,2021-12-15,public,limon,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX22261811,China,Asia,China:Baoshan,Illumina HiSeq 2000,ACH_2,PAIRED,PCR,TRANSCRIPTOMIC,Citrus x limon,ILLUMINA,2023-11-20T00:00:00Z,2023-10-30T05:47:00Z,1,ACH_2,SRP469060,leaf
SRR26560373,7,RNA-Seq,300,6559737000,PRJNA1033435,SAMN38033651,Plant,2329657590,ACADEMY OF AGRICULTURAL SCIENCES,2021-12-15,public,limon,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX22261810,China,Asia,China:Baoshan,Illumina HiSeq 2000,ACH_1,PAIRED,PCR,TRANSCRIPTOMIC,Citrus x limon,ILLUMINA,2023-11-20T00:00:00Z,2023-10-30T05:45:00Z,1,ACH_1,SRP469060,leaf
SRR26560374,54,RNA-Seq,300,6808516800,PRJNA1033435,SAMN38033698,Plant,2215257573,ACADEMY OF AGRICULTURAL SCIENCES,2021-09-18,public,limon,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX22261809,China,Asia,China:Baoshan,Illumina HiSeq 2000,YE72_3,PAIRED,PCR,TRANSCRIPTOMIC,Citrus x limon,ILLUMINA,2023-11-20T00:00:00Z,2023-10-30T05:46:00Z,1,YE72_3,SRP469060,leaf
SRR26560375,53,RNA-Seq,300,7023906600,PRJNA1033435,SAMN38033697,Plant,2318955204,ACADEMY OF AGRICULTURAL SCIENCES,2021-09-18,public,limon,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX22261808,China,Asia,China:Baoshan,Illumina HiSeq 2000,YE72_2,PAIRED,PCR,TRANSCRIPTOMIC,Citrus x limon,ILLUMINA,2023-11-20T00:00:00Z,2023-10-30T05:43:00Z,1,YE72_2,SRP469060,leaf
SRR26560376,52,RNA-Seq,300,7161774900,PRJNA1033435,SAMN38033696,Plant,2504426445,ACADEMY OF AGRICULTURAL SCIENCES,2021-09-18,public,limon,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX22261807,China,Asia,China:Baoshan,Illumina HiSeq 2000,YE72_1,PAIRED,PCR,TRANSCRIPTOMIC,Citrus x limon,ILLUMINA,2023-11-20T00:00:00Z,2023-10-30T05:43:00Z,1,YE72_1,SRP469060,leaf
SRR26560377,51,RNA-Seq,300,6930842400,PRJNA1033435,SAMN38033695,Plant,2318903766,ACADEMY OF AGRICULTURAL SCIENCES,2021-09-17,public,limon,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX22261806,China,Asia,China:Baoshan,Illumina HiSeq 2000,YE48_3,PAIRED,PCR,TRANSCRIPTOMIC,Citrus x limon,ILLUMINA,2023-11-20T00:00:00Z,2023-10-30T05:56:00Z,1,YE48_3,SRP469060,leaf
SRR26560378,6,RNA-Seq,300,6773498700,PRJNA1033435,SAMN38033650,Plant,2217834760,ACADEMY OF AGRICULTURAL SCIENCES,2021-12-01,public,limon,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX22261805,China,Asia,China:Baoshan,Illumina HiSeq 2000,ACZ_3,PAIRED,PCR,TRANSCRIPTOMIC,Citrus x limon,ILLUMINA,2023-11-20T00:00:00Z,2023-10-30T05:58:00Z,1,ACZ_3,SRP469060,leaf
SRR26560379,50,RNA-Seq,300,6781457700,PRJNA1033435,SAMN38033694,Plant,2209259711,ACADEMY OF AGRICULTURAL SCIENCES,2021-09-17,public,limon,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX22261804,China,Asia,China:Baoshan,Illumina HiSeq 2000,YE48_2,PAIRED,PCR,TRANSCRIPTOMIC,Citrus x limon,ILLUMINA,2023-11-20T00:00:00Z,2023-10-30T05:44:00Z,1,YE48_2,SRP469060,leaf
